学时,学分,课程名,上课教师,选课人数,上课班级,已排时间地点,课程容量,结课周次,结课星期,上课年级,上课专业,开课周次,开课星期,是否校公选课,课程号,课序号,开课单位,教师号,学校校区,校公选课类别,教室类型,选课课号,课程类别,调课结果,本研标志,课程性质,上课座位数
64,4,理论力学C,张强,,"03082301,03112303,03232301,40032301","4-19周 星期二 8-9节 综教B103,4-19周 星期四 8-9节 综教B103",55,19,星期四,2023级,"车辆工程, 能源与动力工程（中外合作办学）, 智能制造与智能车辆（徐特立英才班）, 能源与动力工程-工商管理",4,2,否,100013014,06,宇航学院,6120104054,良乡校区,,,20242025110001301406,公共基础课程,,本科生,必修,70
64,4,理论力学C,王潘丁,,03322304,"4-19周 星期一 1-2节 文萃楼M233,4-19周 星期三 1-2节 文萃楼M233",25,19,星期三,2023级,机械工程,4,1,否,100013014,07,宇航学院,6120210099,良乡校区,,,20242025110001301407,公共基础课程,,本科生,必修,42
16,0,工程科学导论（专业导论）,马赟,,01052301,4-11周 星期三 6-7节 文萃楼I202,30,11,星期三,2023级,工程科学实验班（徐特立英才班）,4,3,否,100013015,01,宇航学院,6120210127,良乡校区,,,20242025110001301501,专业基础课程,,本科生,必修,100
24,1,工程实践II A,马沁巍,,"01052301,01332301","1周 星期二 7-10节 综教B201,1周 星期二 2-5节 综教B201,1周 星期四 7-10节 综教B201,3周 星期一 7-10节 综教B201,3周 星期三 7-10节 综教B201,3周 星期五 7-10节 综教B201",60,3,星期五,2023级,"工程力学（强基班）, 工程科学实验班（徐特立英才班）",1,2,否,100013017,01,宇航学院,6120104577,良乡校区,,,20242025110001301701,实践环节,,本科生,必修,93
96,6,数理方法核心贯通课,"靳艳飞,张凯,王学云",,"01052301,01332301","4-19周 星期一 8-10节 文萃楼I705,4-19周 星期三 8-10节 文萃楼I705",60,19,星期三,2023级,"工程力学（强基班）, 工程科学实验班（徐特立英才班）",4,1,否,100013018,01,宇航学院,"6120104500,6120110069,6120170031",良乡校区,,,20242025110001301801,专业基础课程,,本科生,必修,80
96,6,理论力学A,刘广彦,,"01012303,01012304,03102301","4-19周 星期二 3-5节 综教B503,4-19周 星期四 3-5节 综教B503",76,19,星期四,2023级,"航空航天类, 智能动力与新能源班",4,2,否,100013101,01,宇航学院,6120120139,良乡校区,,,20242025110001310101,专业基础课程,,本科生,必修,94
96,6,理论力学A,水小平,,"01012301,01012302,01012305,2023级-未来精工技术 2023版培养方案课程模块A01班,40012301","4-19周 星期二 8-10节 理教楼407,4-19周 星期四 8-10节 理教楼407",112,19,星期四,2023级,"航空航天类, 航空航天工程(中外合作办学), 未来精工技术",4,2,否,100013101,02,宇航学院,6120101192,良乡校区,,,20242025110001310102,专业基础课程,,本科生,必修,157
32,2,弹性力学B,赵颖涛,,"01062201,01112201,01112202,01232201,2022级-未来精工技术 2022版培养方案-智能无人飞行器设计方向01班","4-11周 星期二 1-2节 文萃楼M228,4-11周 星期五 6-7节 文萃楼M228",106,11,星期五,2022级,"飞行器设计与工程, 武器发射工程, 未来精工技术, 航空宇航与智能飞行器技术（徐特立英才班）",4,2,否,100014004,01,宇航学院,6120103830,良乡校区,,,20242025110001400401,专业基础课程,,本科生,选修,134
32,2,航天工程概论,徐瑞,,01132201,"13-17周 星期一 3-5节 理教楼409,13-17周 星期三 8-10节 理教楼409,18周 星期一 1-2节 理教楼409",30,18,星期一,2022级,航空航天工程,13,1,否,100014007,01,宇航学院,6120104338,良乡校区,,,20242025110001400701,专业课,,本科生,必修,98
32,2,流体力学C,于勇,,"01062301,01112201,01112202,01132201,01232201","4-11周 星期一 1-2节 综教A304,4-11周 星期三 1-2节 综教A304",150,11,星期三,"2022级, 2023级","飞行器设计与工程, 航空航天工程, 武器发射工程, 航空宇航与智能飞行器技术（徐特立英才班）",4,1,否,100014010,01,宇航学院,6120103870,良乡校区,,,20242025110001401001,专业基础课程,,本科生,必修,161
48,1.5,工程力学实验,刘战伟,,"01052201,01312201,01332201","4-11周 星期二 3-5节 综教B301,4-11周 星期五 8-10节 综教B301",66,11,星期五,2022级,"工程力学, 工程力学（强基班）, 工程科学实验班（徐特立英才班）",4,2,否,100014011,01,宇航学院,6120104107,良乡校区,,,20242025110001401101,专业课,,本科生,必修,93
32,2,张量分析,苏煜,,"01052201,01312201,01332201","12-19周 星期三 1-2节 综教B302,12-19周 星期五 6-7节 综教B302",66,19,星期五,2022级,"工程力学, 工程力学（强基班）, 工程科学实验班（徐特立英才班）",12,3,否,100015003,01,宇航学院,6120104528,良乡校区,,,20242025110001500301,专业课,,本科生,选修,90
32,2,数值分析基础,单明贺,,"01052201,01312201,01332201","4-11周 星期二 6-7节 综教B304,4-11周 星期五 1-2节 综教B304",66,11,星期五,2022级,"工程力学, 工程力学（强基班）, 工程科学实验班（徐特立英才班）",4,2,否,100015004,01,宇航学院,6120210010,良乡校区,,,20242025110001500401,专业课,,本科生,选修,93
32,2,科学计算编程,洪家旺,,"01052201,01312201,01332201","12-16周 星期三 8-10节 综教B502,12-16周 星期四 11-13节 综教B502,17周 星期四 11-12节 综教B502",66,17,星期四,2022级,"工程力学, 工程力学（强基班）, 工程科学实验班（徐特立英才班）",12,3,否,100015005,01,宇航学院,6120150135,良乡校区,,,20242025110001500501,专业课,,本科生,选修,94
32,2,结构力学B,王宽亮,,01312201,"12-19周 星期一 1-2节 综教B302,12-19周 星期三 6-7节 综教B302",30,19,星期三,2022级,工程力学,12,1,否,100015006,01,宇航学院,6120220040,良乡校区,,,20242025110001500601,专业课,,本科生,选修,90
32,2,工程热力学,李永,,"01052201,01312201","4-11周 星期三 1-2节 文萃楼M224,4-11周 星期四 6-7节 文萃楼M224",40,11,星期四,2022级,"工程力学, 工程科学实验班（徐特立英才班）",4,3,否,100015007,01,宇航学院,6120103797,良乡校区,,,20242025110001500701,专业课,,本科生,选修,80
32,2,刚体动力学,"罗凯,陈菊",,01312201,"12-19周 星期一 6-7节 综教B201,12-19周 星期四 1-2节 综教B201",57,19,星期四,2022级,工程力学,12,1,否,100015008,01,宇航学院,"6120190019,6120240024",良乡校区,,,20242025110001500801,专业基础课程,,本科生,必修,93
72,2,力学科研训练,马沁巍,,"01052201,01312201,01332201","1-3周 星期一 2-9节 3号楼438,1-3周 星期二 2-5节 3号楼438,1-3周 星期三 2-5节 3号楼438,1-3周 星期四 2-5节 3号楼438,1-3周 星期五 2-5节 3号楼438",66,3,星期五,2022级,"工程力学, 工程力学（强基班）, 工程科学实验班（徐特立英才班）",1,1,否,100015011,01,宇航学院,6120104577,良乡校区,,,20242025110001501101,专业课,,本科生,必修,72
32,2,面向对象程序设计,李文光,,"01062201,01112201,01112202,01232201,01712201,2022级-未来精工技术 2022版培养方案-智能无人飞行器设计方向01班","4-11周 星期三 6-7节 综教B303,4-11周 星期五 1-2节 综教B303",50,11,星期五,2022级,"飞行器设计与工程, 武器发射工程, 探测制导与控制技术（01）, 未来精工技术, 航空宇航与智能飞行器技术（徐特立英才班）",4,3,否,100015014,01,宇航学院,6120100052,良乡校区,,,20242025110001501401,专业课,,本科生,选修,93
48,3,空气动力与飞行力学,郭杰,,01132201,"9-16周 星期一 8-10节 综教B504,9-16周 星期三 3-5节 综教B504",30,16,星期三,2022级,航空航天工程,9,3,否,100015015,01,宇航学院,6120104798,良乡校区,,,20242025110001501501,专业课,,本科生,必修,90
48,3,航天器轨道动力学与控制,"尚海滨,乔栋",,01132201,"5-12周 星期三 8-10节 综教B405,5-12周 星期五 3-5节 综教B405",30,12,星期五,2022级,航空航天工程,5,3,否,100015016,01,宇航学院,"6120104597,6120104678",良乡校区,,,20242025110001501601,专业课,,本科生,必修,60
32,2,航天器智能控制技术,李朝玉,,"01132201,02192201,02362201,40012201","5-12周 星期一 6-7节 综教B504,5-12周 星期三 6-7节 综教B504",50,12,星期三,2022级,"航空航天工程, 智能无人系统技术（强基班）, 航空航天工程(中外合作办学), 智能无人系统技术（徐特立英才班）",5,3,否,100015019,01,宇航学院,6120210090,良乡校区,,,20242025110001501901,专业课,,本科生,必修,90
32,2,空间机器人技术,胡权,,"01132201,02192201,02362201,40012201","4-11周 星期二 1-2节 文萃楼I304,4-11周 星期五 6-7节 文萃楼I304",76,11,星期五,2022级,"航空航天工程, 智能无人系统技术（强基班）, 航空航天工程(中外合作办学), 智能无人系统技术（徐特立英才班）",4,2,否,100015020,01,宇航学院,6120160106,良乡校区,,,20242025110001502001,专业课,,本科生,选修,100
32,2,微机原理及应用B,王彦恺,,"01112201,01112202,2022级-未来精工技术 2022版培养方案-智能无人飞行器设计方向01班","4-11周 星期一 3-4节 理教楼208,4-11周 星期五 8-9节 理教楼208",65,11,星期五,2022级,"飞行器设计与工程, 未来精工技术",4,1,否,100015022,01,宇航学院,6120104732,良乡校区,,,20242025110001502201,专业课,,本科生,选修,157
48,3,自动控制元件,宋晓东,,01712201,"4-11周 星期二 3-5节 综教B501,4-11周 星期四 8-10节 综教B501",30,11,星期四,2022级,探测制导与控制技术（01）,4,2,否,100015025,01,宇航学院,6120104688,良乡校区,,,20242025110001502501,专业课,,本科生,必修,94
40,2.5,计算机控制原理,张卫忠,,"01232201,01712201","4-11周 星期一 6-7节 综教B502,4-11周 星期四 3-5节 综教B502",60,11,星期四,2022级,"武器发射工程, 探测制导与控制技术（01）",4,1,否,100015026,01,宇航学院,6120104843,良乡校区,,,20242025110001502601,专业基础课程,,本科生,选修,94
32,1,程序设计实践,王彦恺,,01712201,"2-3周 星期一 1-4节 理教楼309,2-3周 星期二 1-4节 理教楼309,2-3周 星期三 1-4节 理教楼309,2-3周 星期四 1-4节 理教楼309",30,3,星期四,2022级,探测制导与控制技术（01）,2,1,否,100015028,01,宇航学院,6120104732,良乡校区,,,20242025110001502801,实践环节,,本科生,必修,98
